number,content,source
13,"a valuable resource in this fast-evolving field. So please check back often!Context and DevelopmentThe book originated as a collaborative effort with contributions from students, researchers, and practitioners. While maintaining its academic rigor and real-world applicability, it continues to evolve through regular updates and careful curation to reflect the latest developments in machine learning systems.","About the Book (part 2)"
130,"This single result triggered an explosion of research and applications in deep learning that continues to this day.Figure 1.2: Deep neural network architecture for Alexnet. Source: Krizhevsky, Sutskever, and Hinton (2017)Krizhevsky, Alex, Ilya Sutskever, and Geoffrey E. Hinton. 2017. “ImageNet Classification with Deep Convolutional Neural Networks.” Communications of the ACM 60 (6): 84–90. https://doi.org/10.1145/3065386.","1.3.5 Deep Learning Era (part 5)"
131,"From this foundation, deep learning entered an era of unprecedented scale. By the late 2010s, companies like Google, Facebook, and OpenAI were training neural networks thousands of times larger than AlexNet. These massive models, often called “foundation models,” took deep learning to new heights. GPT-3, released in 2020, contained 175 billion parameters—imagine a student that could read through all of Wikipedia multiple times and learn patterns from every article.","1.3.5 Deep Learning Era (part 6)"
132,"These models showed remarkable abilities: writing human-like text, engaging in conversation, generating images from descriptions, and even writing computer code. The key insight was simple but powerful: as we made neural networks bigger and fed them more data, they became capable of solving increasingly complex tasks. However, this scale brought unprecedented systems challenges: how do you efficiently train models that require thousands of GPUs working in parallel?","1.3.5 Deep Learning Era (part 7)"
133,"How do you store and serve models that are hundreds of gigabytes in size? How do you handle the massive datasets needed for training?The deep learning revolution of 2012 didn’t emerge from nowhere—it was built on neural network research dating back to the 1950s. The story begins with Frank Rosenblatt’s Perceptron in 1957, which captured the imagination of researchers by showing how a simple artificial neuron could learn to classify patterns.","1.3.5 Deep Learning Era (part 8)"
134,"While it could only handle linearly separable problems—a limitation dramatically highlighted by Minsky and Papert’s 1969 book “Perceptrons”—it introduced the fundamental concept of trainable neural networks. The 1980s brought more important breakthroughs: Rumelhart, Hinton, and Williams introduced backpropagation in 1986, providing a systematic way to train multi-layer networks, while Yann LeCun demonstrated its practical application in recognizing handwritten digits using convolutional neural","1.3.5 Deep Learning Era (part 9)"
135,"networks (CNNs).Important 1.1: Convolutional Network Demo from 1989Yet these networks largely languished through the 1990s and 2000s, not because the ideas were wrong, but because they were ahead of their time—the field lacked three important ingredients: sufficient data to train complex networks, enough computational power to process this data, and the technical innovations needed to train very deep networks effectively.","1.3.5 Deep Learning Era (part 10)"
136,"The field had to wait for the convergence of big data, better computing hardware, and algorithmic breakthroughs before deep learning’s potential could be unlocked. This long gestation period helps explain why the 2012 ImageNet moment was less a sudden revolution and more the culmination of decades of accumulated research finally finding its moment. As we’ll explore in the following sections, this evolution has led to two significant developments in the field.","1.3.5 Deep Learning Era (part 11)"
137,"First, it has given rise to define the field of machine learning systems engineering, a discipline that teaches how to bridge the gap between theoretical advancements and practical implementation. Second, it has necessitated a more comprehensive definition of machine learning systems, one that encompasses not just algorithms, but also data and computing infrastructure. Today’s challenges of scale echo many of the same fundamental questions about computation, data, and learning methods that rese","1.3.5 Deep Learning Era (part 12)"
138,"archers have grappled with since the field’s inception, but now within a more complex and interconnected framework.As AI progressed from symbolic reasoning to statistical learning and deep learning, its applications became increasingly ambitious and complex. This growth introduced challenges that extended beyond algorithms, necessitating a new focus: engineering entire systems capable of deploying and sustaining AI at scale.","1.3.5 Deep Learning Era (part 13)"
139,"This gave rise to the discipline of Machine Learning Systems Engineering.","1.3.5 Deep Learning Era (part 14)"
14,"What to ExpectThis textbook explores the foundational principles, practical workflows, and critical challenges of building and deploying machine learning systems. Starting with foundational concepts, it progresses through engineering principles, examines operational considerations for deploying AI systems, and concludes by reflecting on the societal and technological implications of machine learning.","About the Book (part 3)"
140,"The story we’ve traced—from the early days of the Perceptron through the deep learning revolution—has largely been one of algorithmic breakthroughs. Each era brought new mathematical insights and modeling approaches that pushed the boundaries of what AI could achieve. But something important changed over the past decade: the success of AI systems became increasingly dependent not just on algorithmic innovations, but on sophisticated engineering.","1.4 ML Systems Engineering (part 1)"
141,"This shift mirrors the evolution of computer science and engineering in the late 1960s and early 1970s. During that period, as computing systems grew more complex, a new discipline emerged: Computer Engineering. This field bridged the gap between Electrical Engineering’s hardware expertise and Computer Science’s focus on algorithms and software. Computer Engineering arose because the challenges of designing and building complex computing systems required an integrated approach that neither dis","1.4 ML Systems Engineering (part 2)"
142,"cipline could fully address on its own.Today, we’re witnessing a similar transition in the field of AI. While Computer Science continues to push the boundaries of ML algorithms and Electrical Engineering advances specialized AI hardware, neither discipline fully addresses the engineering principles needed to deploy, optimize, and sustain ML systems at scale. This gap highlights the need for a new discipline: Machine Learning Systems Engineering.","1.4 ML Systems Engineering (part 3)"
143,"There is no explicit definition of what this field is as such today, but it can be broadly defined as such:Definition of Machine Learning Systems EngineeringMachine Learning Systems Engineering (MLSysEng) is the discipline of designing, implementing, and operating artificially intelligent systems across computing scales—from resource-constrained embedded devices to warehouse-scale computers. This field integrates principles from engineering disciplines spanning hardware to software to creat","1.4 ML Systems Engineering (part 4)"
144,"e systems that are reliable, efficient, and optimized for their deployment context. It encompasses the complete lifecycle of AI applications: from requirements engineering and data collection through model development, system integration, deployment, monitoring, and maintenance. The field emphasizes engineering principles of systematic design, resource constraints, performance requirements, and operational reliability.Let’s consider space exploration.","1.4 ML Systems Engineering (part 5)"
145,"While astronauts venture into new frontiers and explore the vast unknowns of the universe, their discoveries are only possible because of the complex engineering systems supporting them—the rockets that lift them into space, the life support systems that keep them alive, and the communication networks that keep them connected to Earth. Similarly, while AI researchers push the boundaries of what’s possible with learning algorithms, their breakthroughs only become practical reality through carefu","1.4 ML Systems Engineering (part 6)"
146,"l systems engineering. Modern AI systems need robust infrastructure to collect and manage data, powerful computing systems to train models, and reliable deployment platforms to serve millions of users.This emergence of machine learning systems engineering as a important discipline reflects a broader reality: turning AI algorithms into real-world systems requires bridging the gap between theoretical possibilities and practical implementation.","1.4 ML Systems Engineering (part 7)"
147,"It’s not enough to have a brilliant algorithm if you can’t efficiently collect and process the data it needs, distribute its computation across hundreds of machines, serve it reliably to millions of users, or monitor its performance in production.Understanding this interplay between algorithms and engineering has become fundamental for modern AI practitioners. While researchers continue to push the boundaries of what’s algorithmically possible, engineers are tackling the complex challenge of","1.4 ML Systems Engineering (part 8)"
148,"making these algorithms work reliably and efficiently in the real world. This brings us to a fundamental question: what exactly is a machine learning system, and what makes it different from traditional software systems?","1.4 ML Systems Engineering (part 9)"
149,"There’s no universally accepted, clear-cut textbook definition of a machine learning system. This ambiguity stems from the fact that different practitioners, researchers, and industries often refer to machine learning systems in varying contexts and with different scopes. Some might focus solely on the algorithmic aspects, while others might include the entire pipeline from data collection to model deployment.","1.5 Defining ML Systems (part 1)"
15,"Learning GoalsKey Learning OutcomesThis book is structured with Bloom’s Taxonomy in mind, which defines six levels of learning, ranging from foundational knowledge to advanced creative thinking:Figure 1: Bloom’s Taxonomy (2021 edition).Remembering: Recalling basic facts and concepts.Understanding: Explaining ideas or processes.Applying: Using knowledge in new situations.Analyzing: Breaking down information into components.","About the Book (part 4)"
150,"This loose usage of the term reflects the rapidly evolving and multidisciplinary nature of the field.Given this diversity of perspectives, it is important to establish a clear and comprehensive definition that encompasses all these aspects. In this textbook, we take a holistic approach to machine learning systems, considering not just the algorithms but also the entire ecosystem in which they operate.","1.5 Defining ML Systems (part 2)"
151,"Therefore, we define a machine learning system as follows:Definition of a Machine Learning SystemA machine learning system is an integrated computing system comprising three core components: (1) data that guides algorithmic behavior, (2) learning algorithms that extract patterns from this data, and (3) computing infrastructure that enables both the learning process (i.e., training) and the application of learned knowledge (i.e., inference/serving).","1.5 Defining ML Systems (part 3)"
152,"Together, these components create a computing system capable of making predictions, generating content, or taking actions based on learned patterns.The core of any machine learning system consists of three interrelated components, as illustrated in Figure 1.3: Models/Algorithms, Data, and Computing Infrastructure. These components form a triangular dependency where each element fundamentally shapes the possibilities of the others.","1.5 Defining ML Systems (part 4)"
153,"The model architecture dictates both the computational demands for training and inference, as well as the volume and structure of data required for effective learning. The data’s scale and complexity influence what infrastructure is needed for storage and processing, while simultaneously determining which model architectures are feasible. The infrastructure capabilities establish practical limits on both model scale and data processing capacity, creating a framework within which the other compo","1.5 Defining ML Systems (part 5)"
154,"nents must operate.Figure 1.3: Machine learning systems involve algorithms, data, and computation, all intertwined together.Each of these components serves a distinct but interconnected purpose:Algorithms: Mathematical models and methods that learn patterns from data to make predictions or decisionsData: Processes and infrastructure for collecting, storing, processing, managing, and serving data for both training and inference.","1.5 Defining ML Systems (part 6)"
155,"Computing: Hardware and software infrastructure that enables efficient training, serving, and operation of models at scale.The interdependency of these components means no single element can function in isolation. The most sophisticated algorithm cannot learn without data or computing resources to run on. The largest datasets are useless without algorithms to extract patterns or infrastructure to process them.","1.5 Defining ML Systems (part 7)"
156,"And the most powerful computing infrastructure serves no purpose without algorithms to execute or data to process.To illustrate these relationships, we can draw an analogy to space exploration. Algorithm developers are like astronauts—exploring new frontiers and making discoveries. Data science teams function like mission control specialists—ensuring the constant flow of critical information and resources needed to keep the mission running.","1.5 Defining ML Systems (part 8)"
157,"Computing infrastructure engineers are like rocket engineers—designing and building the systems that make the mission possible. Just as a space mission requires the seamless integration of astronauts, mission control, and rocket systems, a machine learning system demands the careful orchestration of algorithms, data, and computing infrastructure.","1.5 Defining ML Systems (part 9)"
158,"Traditional software systems follow a predictable lifecycle where developers write explicit instructions for computers to execute. These systems are built on decades of established software engineering practices. Version control systems maintain precise histories of code changes. Continuous integration and deployment pipelines automate testing and release processes. Static analysis tools measure code quality and identify potential issues.","1.6 Lifecycle of ML Systems (part 1)"
159,"This infrastructure enables reliable development, testing, and deployment of software systems, following well-defined principles of software engineering.Machine learning systems represent a fundamental departure from this traditional paradigm. While traditional systems execute explicit programming logic, machine learning systems derive their behavior from patterns in data. This shift from code to data as the primary driver of system behavior introduces new complexities.","1.6 Lifecycle of ML Systems (part 2)"
16,"Evaluating: Making judgments based on criteria and standards.Creating: Producing original work or solutions.Learning ObjectivesThis book supports readers in:Understanding Fundamentals: Explain the foundational principles of machine learning, including theoretical underpinnings and practical applications.Analyzing System Components: Evaluate the critical components of AI systems and their roles within various architectures.","About the Book (part 5)"
160,"As illustrated in Figure 1.4, the ML lifecycle consists of interconnected stages from data collection through model monitoring, with feedback loops for continuous improvement when performance degrades or models need enhancement.Figure 1.4: The typical lifecycle of a machine learning system.Unlike source code, which changes only when developers modify it, data reflects the dynamic nature of the real world. Changes in data distributions can silently alter system behavior.","1.6 Lifecycle of ML Systems (part 3)"
161,"Traditional software engineering tools, designed for deterministic code-based systems, prove insufficient for managing these data-dependent systems. For example, version control systems that excel at tracking discrete code changes struggle to manage large, evolving datasets. Testing frameworks designed for deterministic outputs must be adapted for probabilistic predictions. This data-dependent nature creates a more dynamic lifecycle, requiring continuous monitoring and adaptation to maintain sy","1.6 Lifecycle of ML Systems (part 4)"
162,"stem relevance as real-world data patterns evolve.Understanding the machine learning system lifecycle requires examining its distinct stages. Each stage presents unique requirements from both learning and infrastructure perspectives. This dual consideration—of learning needs and systems support—is wildly important for building effective machine learning systems.However, the various stages of the ML lifecycle in production are not isolated; they are, in fact, deeply interconnected.","1.6 Lifecycle of ML Systems (part 5)"
163,"This interconnectedness can create either virtuous or vicious cycles. In a virtuous cycle, high-quality data enables effective learning, robust infrastructure supports efficient processing, and well-engineered systems facilitate the collection of even better data. However, in a vicious cycle, poor data quality undermines learning, inadequate infrastructure hampers processing, and system limitations prevent the improvement of data collection—each problem compounds the others.","1.6 Lifecycle of ML Systems (part 6)"
164,"The complexity of managing machine learning systems becomes even more apparent when we consider the broad spectrum across which ML is deployed today. ML systems exist at vastly different scales and in diverse environments, each presenting unique challenges and constraints.At one end of the spectrum, we have cloud-based ML systems running in massive data centers. These systems, like large language models or recommendation engines, process petabytes of data and serve millions of users simultaneo","1.7 ML Systems in the Wild (part 1)"
165,"usly. They can leverage virtually unlimited computing resources but must manage enormous operational complexity and costs.At the other end, we find TinyML systems running on microcontrollers and embedded devices. These systems must perform ML tasks with severe constraints on memory, computing power, and energy consumption. Imagine a smart home device, such as Alexa or Google Assistant, that must recognize voice commands using less power than a LED bulb, or a sensor that must detect anomalies w","1.7 ML Systems in the Wild (part 2)"
166,"hile running on a battery for months or even years.Between these extremes, we find a rich variety of ML systems adapted for different contexts. Edge ML systems bring computation closer to data sources, reducing latency and bandwidth requirements while managing local computing resources. Mobile ML systems must balance sophisticated capabilities with battery life and processor limitations on smartphones and tablets.","1.7 ML Systems in the Wild (part 3)"
167,"Enterprise ML systems often operate within specific business constraints, focusing on particular tasks while integrating with existing infrastructure. Some organizations employ hybrid approaches, distributing ML capabilities across multiple tiers to balance various requirements.","1.7 ML Systems in the Wild (part 4)"
168,"The diversity of ML systems across the spectrum represents a complex interplay of requirements, constraints, and trade-offs. These decisions fundamentally impact every stage of the ML lifecycle we discussed earlier, from data collection to continuous operation.Performance requirements often drive initial architectural decisions. Latency-sensitive applications, like autonomous vehicles or real-time fraud detection, might require edge or embedded architectures despite their resource constraints.","1.8 ML Systems Impact on Lifecycle (part 1)"
169,"Conversely, applications requiring massive computational power for training, such as large language models, naturally gravitate toward centralized cloud architectures. However, raw performance is just one consideration in a complex decision space.Resource management varies dramatically across architectures. Cloud systems must optimize for cost efficiency at scale—balancing expensive GPU clusters, storage systems, and network bandwidth.","1.8 ML Systems Impact on Lifecycle (part 2)"
17,"Designing Workflows: Outline workflows for developing machine learning systems, from data collection to deployment.Optimizing Models: Apply methods to enhance performance, such as hyperparameter tuning and regularization.Evaluating Ethical Implications: Analyze societal impacts and address potential biases in AI systems.Exploring Applications: Investigate real-world use cases across diverse domains.","About the Book (part 6)"
170,"Edge systems face fixed resource limits and must carefully manage local compute and storage. Mobile and embedded systems operate under the strictest constraints, where every byte of memory and milliwatt of power matters. These resource considerations directly influence both model design and system architecture.Operational complexity increases with system distribution. While centralized cloud architectures benefit from mature deployment tools and managed services, edge and hybrid systems must","1.8 ML Systems Impact on Lifecycle (part 3)"
171,"handle the complexity of distributed system management. This complexity manifests throughout the ML lifecycle—from data collection and version control to model deployment and monitoring. This operational complexity can compound over time if not carefully managed.Data considerations often introduce competing pressures. Privacy requirements or data sovereignty regulations might push toward edge or embedded architectures, while the need for large-scale training data might favor cloud approaches.","1.8 ML Systems Impact on Lifecycle (part 4)"
172,"The velocity and volume of data also influence architectural choices—real-time sensor data might require edge processing to manage bandwidth, while batch analytics might be better suited to cloud processing.Evolution and maintenance requirements must be considered from the start. Cloud architectures offer flexibility for system evolution but can incur significant ongoing costs. Edge and embedded systems might be harder to update but could offer lower operational overhead.","1.8 ML Systems Impact on Lifecycle (part 5)"
173,"The continuous cycle of ML systems we discussed earlier becomes particularly challenging in distributed architectures, where updating models and maintaining system health requires careful orchestration across multiple tiers.These trade-offs are rarely simple binary choices. Modern ML systems often adopt hybrid approaches, carefully balancing these considerations based on specific use cases and constraints.","1.8 ML Systems Impact on Lifecycle (part 6)"
174,"The key is understanding how these decisions will impact the system throughout its lifecycle, from initial development through continuous operation and evolution.","1.8 ML Systems Impact on Lifecycle (part 7)"
175,"The landscape of machine learning systems is evolving rapidly, with innovations happening from user-facing applications down to core infrastructure. These changes are reshaping how we design and deploy ML systems.Application-Level InnovationThe rise of agentic systems marks a profound shift from traditional reactive ML systems that simply made predictions based on input data. Modern applications can now take actions, learn from outcomes, and adapt their behavior accordingly through multi-agen","1.8.1 Emerging Trends (part 1)"
176,"t systems and advanced planning algorithms. These autonomous agents can plan, reason, and execute complex tasks, introducing new requirements for decision-making frameworks and safety constraints.This increased sophistication extends to operational intelligence. Applications will likely incorporate sophisticated self-monitoring, automated resource management, and adaptive deployment strategies. They can automatically handle data distribution shifts, model updates, and system optimization, mark","1.8.1 Emerging Trends (part 2)"
177,"ing a significant advance in autonomous operation.System Architecture EvolutionSupporting these advanced applications requires fundamental changes in the underlying system architecture. Integration frameworks are evolving to handle increasingly complex interactions between ML systems and broader technology ecosystems. Modern ML systems must seamlessly connect with existing software, process diverse data sources, and operate across organizational boundaries, driving new approaches to system de","1.8.1 Emerging Trends (part 3)"
178,"sign.Resource efficiency has become a central architectural concern as ML systems scale. Innovation in model compression and efficient training techniques is being driven by both environmental and economic factors. Future architectures must carefully balance the pursuit of more powerful models against growing sustainability concerns.At the infrastructure level, new hardware is reshaping deployment possibilities.","1.8.1 Emerging Trends (part 4)"
179,"Specialized AI accelerators are emerging across the spectrum—from powerful data center chips to efficient edge processors to tiny neural processing units in mobile devices. This heterogeneous computing landscape enables dynamic model distribution across tiers based on computing capabilities and conditions, blurring traditional boundaries between cloud, edge, and embedded systems.These trends are creating ML systems that are more capable and efficient while managing increasing complexity.","1.8.1 Emerging Trends (part 5)"
